date,year,tourney_name,surface,indoor,commitment,draw_size,url
19150816,1915,Australasian Championships,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australasian-championships/580/1915/results
19150831,1915,US Championships,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1915/results
19160828,1916,US Championships,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1916/results
19170820,1917,US Championships,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/us-championships/560/1917/results
19180826,1918,US Championships,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1918/results
19190623,1919,Wimbledon,Grass,Outdoor,,129,https://www.atptour.com/en/scores/archive/wimbledon/540/1919/results
19190826,1919,US Championships,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1919/results
19200122,1919,Australasian Championships,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australasian-championships/580/1919/results
19200315,1920,Australasian Championships,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australasian-championships/580/1920/results
19200621,1920,Wimbledon,Grass,Outdoor,,129,https://www.atptour.com/en/scores/archive/wimbledon/540/1920/results
19200830,1920,US Championships,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1920/results
19210620,1921,Wimbledon,Grass,Outdoor,,129,https://www.atptour.com/en/scores/archive/wimbledon/540/1921/results
19210909,1921,US Championships,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1921/results
19211226,1921,Australasian Championships,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australasian-championships/580/1921/results
19220626,1922,Wimbledon,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1922/results
19220908,1922,US Championships,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1922/results
19221201,1922,Australasian Championships,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australasian-championships/580/1922/results
19230625,1923,Wimbledon,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1923/results
19230811,1923,Australasian Championships,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australasian-championships/580/1923/results
19230910,1923,US Championships,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/us-championships/560/1923/results
19240120,1924,Australasian Championships,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australasian-championships/580/1924/results
19240623,1924,Wimbledon,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1924/results
19240825,1924,US Championships,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1924/results
19250124,1925,Australian Championships,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australian-championships/580/1925/results
19250527,1925,French Championships,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/french-championships/520/1925/results
