date,year,tourney_name,tourney_id,surface,indoor,commitment,draw_size,url
19150816,1915,Australasian Championships,1915_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australasian-championships/580/1915/results
19150831,1915,US Championships,1915_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1915/results
19160828,1916,US Championships,1916_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1916/results
19170820,1917,US Championships,1917_560,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/us-championships/560/1917/results
19180826,1918,US Championships,1918_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1918/results
19190623,1919,Wimbledon,1919_540,Grass,Outdoor,,129,https://www.atptour.com/en/scores/archive/wimbledon/540/1919/results
19190826,1919,US Championships,1919_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1919/results
19200122,1919,Australasian Championships,1919_580,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australasian-championships/580/1919/results
19200315,1920,Australasian Championships,1920_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australasian-championships/580/1920/results
19200621,1920,Wimbledon,1920_540,Grass,Outdoor,,129,https://www.atptour.com/en/scores/archive/wimbledon/540/1920/results
19200830,1920,US Championships,1920_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1920/results
19210620,1921,Wimbledon,1921_540,Grass,Outdoor,,129,https://www.atptour.com/en/scores/archive/wimbledon/540/1921/results
19210909,1921,US Championships,1921_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1921/results
19211226,1921,Australasian Championships,1921_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australasian-championships/580/1921/results
19220626,1922,Wimbledon,1922_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1922/results
19220908,1922,US Championships,1922_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1922/results
19221201,1922,Australasian Championships,1922_580,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australasian-championships/580/1922/results
19230625,1923,Wimbledon,1923_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1923/results
19230811,1923,Australasian Championships,1923_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australasian-championships/580/1923/results
19230910,1923,US Championships,1923_560,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/us-championships/560/1923/results
19240120,1924,Australasian Championships,1924_580,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australasian-championships/580/1924/results
19240623,1924,Wimbledon,1924_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1924/results
19240825,1924,US Championships,1924_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1924/results
19250124,1925,Australian Championships,1925_580,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australian-championships/580/1925/results
19250527,1925,French Championships,1925_520,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/french-championships/520/1925/results
19250622,1925,Wimbledon,1925_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1925/results
19250914,1925,US Championships,1925_560,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/us-championships/560/1925/results
19260123,1926,Australian Championships,1926_580,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australian-championships/580/1926/results
19260602,1926,French Championships,1926_520,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1926/results
19260621,1926,Wimbledon,1926_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1926/results
19260913,1926,US Championships,1926_560,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/us-championships/560/1926/results
19270122,1927,Australian Championships,1927_580,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australian-championships/580/1927/results
19270524,1927,French Championships,1927_520,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1927/results
19270620,1927,Wimbledon,1927_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1927/results
19270912,1927,US Championships,1927_560,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/us-championships/560/1927/results
19280128,1928,Australian Championships,1928_580,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/australian-championships/580/1928/results
19280525,1928,French Championships,1928_520,Clay,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1928/results
19280625,1928,Wimbledon,1928_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1928/results
19280910,1928,US Championships,1928_560,Grass,Outdoor,,64,https://www.atptour.com/en/scores/archive/us-championships/560/1928/results
19290119,1929,Australian Championships,1929_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australian-championships/580/1929/results
19290524,1929,French Championships,1929_520,Clay,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1929/results
19290624,1929,Wimbledon,1929_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1929/results
19290907,1929,US Championships,1929_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1929/results
19300120,1930,Australian Championships,1930_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australian-championships/580/1930/results
19300524,1930,French Championships,1930_520,Clay,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1930/results
19300623,1930,Wimbledon,1930_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1930/results
19300906,1930,US Championships,1930_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1930/results
19310227,1931,Australian Championships,1931_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australian-championships/580/1931/results
19310522,1931,French Championships,1931_520,Clay,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1931/results
19310622,1931,Wimbledon,1931_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1931/results
19310905,1931,US Championships,1931_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1931/results
19320208,1932,Australian Championships,1932_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australian-championships/580/1932/results
19320526,1932,French Championships,1932_520,Clay,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1932/results
19320620,1932,Wimbledon,1932_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1932/results
19320903,1932,US Championships,1932_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1932/results
19330121,1933,Australian Championships,1933_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australian-championships/580/1933/results
19330525,1933,French Championships,1933_520,Clay,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1933/results
19330626,1933,Wimbledon,1933_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1933/results
19330902,1933,US Championships,1933_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1933/results
19340118,1934,Australian Championships,1934_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australian-championships/580/1934/results
19340523,1934,French Championships,1934_520,Clay,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1934/results
19340625,1934,Wimbledon,1934_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1934/results
19340901,1934,US Championships,1934_560,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/us-championships/560/1934/results
19350101,1935,Australian Championships,1935_580,Grass,Outdoor,,32,https://www.atptour.com/en/scores/archive/australian-championships/580/1935/results
19350522,1935,French Championships,1935_520,Clay,Outdoor,,128,https://www.atptour.com/en/scores/archive/french-championships/520/1935/results
19350624,1935,Wimbledon,1935_540,Grass,Outdoor,,128,https://www.atptour.com/en/scores/archive/wimbledon/540/1935/results
